Insert-Atom,Pt-Fold,Melting-point1,Melting-point2,Melting-point-Average,Density1,Density2,Density-Average,Ionization-energy1,Ionization-energy2,Ionization-energy-Average,Atomic-mass1,Atomic-mass2,Atomic-mass-Average,ID-Average,ID-1,ID-2,Radius-1,Radius-2,Radius-Average,Electronegativity-1,Electronegativity-2,Electronegativity-ave,Energy-slab,Force-1,Force-2,magnetization-1,magnetization-2,Distance,E-fermi,Formation-Energy,Work-function,p-center,d-center,mag,Bader-1,Bader-2,*O,*OH,delta G
Sc-Ti,1,1541,1668,1604.5,2.99,4.51,3.75,6.5,6.8,6.65,44.9,47.9,46.4,21.5,21,22,1.62,1.47,1.545,1.36,1.54,1.45,-195.85765,0.038707,0.0541933,-0.056,0.088,2.739413561,3.5789,-17.7617503,5.358,0.217,-2.357,13.7758,-0.21049,-0.809957,-4.6682376,-2.8772842,1.1461293
Sc-V,1,1541,1910,1725.5,2.99,6.11,4.55,6.5,6.7,6.6,44.9,50.9,47.9,22,21,23,1.62,1.34,1.48,1.36,1.63,1.495,-196.37308,0.0474163,0.0570473,0.052,0.076,2.73941283,3.5572,-17.3854334,5.359,1.41,-2.212,15.1795,-0.336005,-0.059053,-3.8185476,-2.3943742,0.7823723
Sc-Cr,1,1541,1970,1755.5,2.99,7.14,5.065,6.5,7.4,6.95,44.9,52,48.45,22.5,21,24,1.62,1.28,1.45,1.36,1.66,1.51,-195.84256,0.042748,0.015268,0.029,0.104,2.739270452,3.5053,-14.8288864,5.358,0.272,-2.338,14.8084,-0.3702,0.077698,-3.8094276,-2.6653242,0.4931543
Sc-Mn,1,1541,1246,1393.5,2.99,7.47,5.23,6.5,7.9,7.2,44.9,54.9,49.9,23,21,25,1.62,1.27,1.445,1.36,1.55,1.455,-195.72364,0.045525,0.0254947,-0.049,0.233,2.739600791,3.4921,-15.0022514,5.353,1.52,-2.106,18.7501,-0.385765,0.134615,-4.4059676,-1.4030442,2.3352363
Sc-Fe,1,1541,1538,1539.5,2.99,7.87,5.43,6.5,7.8,7.15,44.9,55.8,50.35,23.5,21,26,1.62,1.26,1.44,1.36,1.83,1.595,-194.42699,0.0330657,0.028268,-0.104,0.232,2.740233622,3.4113,-15.5560711,5.357,0.565,-2.238,15.1865,-0.398879,0.261681,-4.7186376,-2.2841042,1.7832113
Sc-Ni,1,1541,1455,1498,2.99,8.91,5.95,6.5,7.6,7.05,44.9,58.7,51.8,24.5,21,28,1.62,1.24,1.43,1.36,1.91,1.635,-191.71581,0.0526917,0.0186273,-0.036,0.22,2.742990382,3.4124,-15.40052993,5.408,0.604,-2.172,12.6761,-0.445067,0.506961,-4.5679676,-2.7663342,1.1466023
Sc-Cu,1,1541,1085,1313,2.99,8.92,5.955,6.5,7.7,7.1,44.9,63.5,54.2,25,21,29,1.62,1.28,1.45,1.36,1.9,1.63,-190.72518,0.047958,0.0100917,-0.019,0.14,2.741324247,3.4236,-14.89793229,5.395,0.589,-2.167,14.6284,-0.451637,0.500663,-3.3586076,-2.2320542,0.3656831
Sc-Zn,1,1541,419.5,980.25,2.99,7.14,5.065,6.5,9.3,7.9,44.9,65.4,55.15,25.5,21,30,1.62,1.34,1.48,1.36,1.65,1.505,-188.04896,0.0354233,0.019883,-0.018,0.118,2.74109136,3.3585,-12.45622782,5.43,0.488,-2.226,11.9561,-0.421566,0.301433,-4.3325476,-3.3123542,0.6958671
Sc-Ru,1,1541,2334,1937.5,2.99,12.37,7.68,6.5,7.3,6.9,44.9,101,72.95,32.5,21,44,1.62,1.34,1.48,1.36,2.2,1.78,-194.85745,0.0418763,0.016225,-0.02,0.106,2.740353715,3.571,-17.194777,5.363,1.322,-2.152,14.3668,-0.34023,-0.030789,-4.3062476,-2.8773042,0.7677103
Sc-Rh,1,1541,1964,1752.5,2.99,12.45,7.72,6.5,7.4,6.95,44.9,102.9,73.9,33,21,45,1.62,1.34,1.48,1.36,2.28,1.82,-193.87217,0.048773,0.0108133,-0.024,0.162,2.741631004,3.5066,-17.0336243,5.435,1.649,-2.031,12.2992,-0.376268,0.119645,-3.8141576,-2.3468442,0.7951463
